opening L1_Training_out_with_lambda:0.001000.txt
starting
Loading model
Epoch 1: Train MSE is 0.970498 | Dev MSE is 1.022577
Epoch 2: Train MSE is 0.970551 | Dev MSE is 1.022651
Epoch 3: Train MSE is 0.970552 | Dev MSE is 1.022672
Epoch 4: Train MSE is 0.970568 | Dev MSE is 1.022687
Epoch 5: Train MSE is 0.970559 | Dev MSE is 1.022691
Epoch 6: Train MSE is 0.970569 | Dev MSE is 1.022696
Epoch 7: Train MSE is 0.970565 | Dev MSE is 1.022698
Epoch 8: Train MSE is 0.970564 | Dev MSE is 1.022695
Epoch 9: Train MSE is 0.970559 | Dev MSE is 1.022698
Epoch 10: Train MSE is 0.970556 | Dev MSE is 1.022698
Epoch 11: Train MSE is 0.970551 | Dev MSE is 1.022699
Epoch 12: Train MSE is 0.970560 | Dev MSE is 1.022701
Epoch 13: Train MSE is 0.970551 | Dev MSE is 1.022699
Epoch 14: Train MSE is 0.970553 | Dev MSE is 1.022698
Epoch 15: Train MSE is 0.970560 | Dev MSE is 1.022701
Epoch 16: Train MSE is 0.970560 | Dev MSE is 1.022697
Epoch 17: Train MSE is 0.970562 | Dev MSE is 1.022698
Epoch 18: Train MSE is 0.970561 | Dev MSE is 1.022699
Epoch 19: Train MSE is 0.970561 | Dev MSE is 1.022699
Epoch 20: Train MSE is 0.970553 | Dev MSE is 1.022700
Epoch 21: Train MSE is 0.970556 | Dev MSE is 1.022696
Epoch 22: Train MSE is 0.970552 | Dev MSE is 1.022697
Epoch 23: Train MSE is 0.970557 | Dev MSE is 1.022696
Epoch 24: Train MSE is 0.970552 | Dev MSE is 1.022698
Epoch 25: Train MSE is 0.970550 | Dev MSE is 1.022698
Epoch 26: Train MSE is 0.970550 | Dev MSE is 1.022698
Epoch 27: Train MSE is 0.970558 | Dev MSE is 1.022699
Epoch 28: Train MSE is 0.970572 | Dev MSE is 1.022700
Epoch 29: Train MSE is 0.970555 | Dev MSE is 1.022699
Epoch 30: Train MSE is 0.970549 | Dev MSE is 1.022699
Epoch 31: Train MSE is 0.970557 | Dev MSE is 1.022695
Epoch 32: Train MSE is 0.970556 | Dev MSE is 1.022698
Epoch 33: Train MSE is 0.970552 | Dev MSE is 1.022698
Epoch 34: Train MSE is 0.970556 | Dev MSE is 1.022698
Epoch 35: Train MSE is 0.970559 | Dev MSE is 1.022698
Epoch 36: Train MSE is 0.970547 | Dev MSE is 1.022697
Epoch 37: Train MSE is 0.970557 | Dev MSE is 1.022698
Epoch 38: Train MSE is 0.970561 | Dev MSE is 1.022696
Epoch 39: Train MSE is 0.970556 | Dev MSE is 1.022700
Epoch 40: Train MSE is 0.970555 | Dev MSE is 1.022698
Epoch 41: Train MSE is 0.970558 | Dev MSE is 1.022699
Epoch 42: Train MSE is 0.970555 | Dev MSE is 1.022696
Epoch 43: Train MSE is 0.970554 | Dev MSE is 1.022696
Epoch 44: Train MSE is 0.970554 | Dev MSE is 1.022694
Epoch 45: Train MSE is 0.970554 | Dev MSE is 1.022699
Epoch 46: Train MSE is 0.970551 | Dev MSE is 1.022697
Epoch 47: Train MSE is 0.970545 | Dev MSE is 1.022697
Epoch 48: Train MSE is 0.970555 | Dev MSE is 1.022701
Epoch 49: Train MSE is 0.970553 | Dev MSE is 1.022698
Epoch 50: Train MSE is 0.970555 | Dev MSE is 1.022698
Epoch 51: Train MSE is 0.970555 | Dev MSE is 1.022700
Epoch 52: Train MSE is 0.970560 | Dev MSE is 1.022699
Epoch 53: Train MSE is 0.970557 | Dev MSE is 1.022699
Epoch 54: Train MSE is 0.970561 | Dev MSE is 1.022700
Epoch 55: Train MSE is 0.970555 | Dev MSE is 1.022697
Epoch 56: Train MSE is 0.970552 | Dev MSE is 1.022699
Epoch 57: Train MSE is 0.970562 | Dev MSE is 1.022698
Epoch 58: Train MSE is 0.970549 | Dev MSE is 1.022699
Epoch 59: Train MSE is 0.970560 | Dev MSE is 1.022699
Epoch 60: Train MSE is 0.970548 | Dev MSE is 1.022699
Epoch 61: Train MSE is 0.970558 | Dev MSE is 1.022697
Epoch 62: Train MSE is 0.970545 | Dev MSE is 1.022698
Epoch 63: Train MSE is 0.970562 | Dev MSE is 1.022698
Epoch 64: Train MSE is 0.970546 | Dev MSE is 1.022697
Epoch 65: Train MSE is 0.970554 | Dev MSE is 1.022700
Epoch 66: Train MSE is 0.970556 | Dev MSE is 1.022701
Epoch 67: Train MSE is 0.970560 | Dev MSE is 1.022698
Epoch 68: Train MSE is 0.970554 | Dev MSE is 1.022699
Epoch 69: Train MSE is 0.970559 | Dev MSE is 1.022699
Epoch 70: Train MSE is 0.970559 | Dev MSE is 1.022700
Epoch 71: Train MSE is 0.970556 | Dev MSE is 1.022696
Epoch 72: Train MSE is 0.970555 | Dev MSE is 1.022700
Epoch 73: Train MSE is 0.970557 | Dev MSE is 1.022699
Epoch 74: Train MSE is 0.970549 | Dev MSE is 1.022700
Epoch 75: Train MSE is 0.970556 | Dev MSE is 1.022696
Epoch 76: Train MSE is 0.970551 | Dev MSE is 1.022699
Epoch 77: Train MSE is 0.970553 | Dev MSE is 1.022700
Epoch 78: Train MSE is 0.970557 | Dev MSE is 1.022700
Epoch 79: Train MSE is 0.970554 | Dev MSE is 1.022699
Epoch 80: Train MSE is 0.970554 | Dev MSE is 1.022694
Epoch 81: Train MSE is 0.970559 | Dev MSE is 1.022697
Epoch 82: Train MSE is 0.970553 | Dev MSE is 1.022700
Epoch 83: Train MSE is 0.970555 | Dev MSE is 1.022697
Epoch 84: Train MSE is 0.970551 | Dev MSE is 1.022696
Epoch 85: Train MSE is 0.970554 | Dev MSE is 1.022697
Epoch 86: Train MSE is 0.970553 | Dev MSE is 1.022699
Epoch 87: Train MSE is 0.970558 | Dev MSE is 1.022698
Epoch 88: Train MSE is 0.970557 | Dev MSE is 1.022697
Epoch 89: Train MSE is 0.970560 | Dev MSE is 1.022697
Epoch 90: Train MSE is 0.970558 | Dev MSE is 1.022699
Epoch 91: Train MSE is 0.970553 | Dev MSE is 1.022699
Epoch 92: Train MSE is 0.970567 | Dev MSE is 1.022697
Epoch 93: Train MSE is 0.970555 | Dev MSE is 1.022698
Epoch 94: Train MSE is 0.970555 | Dev MSE is 1.022699
Epoch 95: Train MSE is 0.970556 | Dev MSE is 1.022698
