opening L1_Training_out_with_lambda:0.002000.txt
starting
Loading model
Epoch 1: Train MSE is 0.975407 | Dev MSE is 1.026437
Epoch 2: Train MSE is 0.975438 | Dev MSE is 1.026524
Epoch 3: Train MSE is 0.975518 | Dev MSE is 1.026556
Epoch 4: Train MSE is 0.975487 | Dev MSE is 1.026588
Epoch 5: Train MSE is 0.975548 | Dev MSE is 1.026598
Epoch 6: Train MSE is 0.975560 | Dev MSE is 1.026585
Epoch 7: Train MSE is 0.975510 | Dev MSE is 1.026595
Epoch 8: Train MSE is 0.975535 | Dev MSE is 1.026596
Epoch 9: Train MSE is 0.975511 | Dev MSE is 1.026599
Epoch 10: Train MSE is 0.975570 | Dev MSE is 1.026619
Epoch 11: Train MSE is 0.975560 | Dev MSE is 1.026603
Epoch 12: Train MSE is 0.975486 | Dev MSE is 1.026595
Epoch 13: Train MSE is 0.975601 | Dev MSE is 1.026592
Epoch 14: Train MSE is 0.975552 | Dev MSE is 1.026604
Epoch 15: Train MSE is 0.975599 | Dev MSE is 1.026611
Epoch 16: Train MSE is 0.975497 | Dev MSE is 1.026591
Epoch 17: Train MSE is 0.975526 | Dev MSE is 1.026615
Epoch 18: Train MSE is 0.975576 | Dev MSE is 1.026592
Epoch 19: Train MSE is 0.975522 | Dev MSE is 1.026580
Epoch 20: Train MSE is 0.975541 | Dev MSE is 1.026574
Epoch 21: Train MSE is 0.975549 | Dev MSE is 1.026599
Epoch 22: Train MSE is 0.975491 | Dev MSE is 1.026576
Epoch 23: Train MSE is 0.975565 | Dev MSE is 1.026603
Epoch 24: Train MSE is 0.975595 | Dev MSE is 1.026592
Epoch 25: Train MSE is 0.975521 | Dev MSE is 1.026595
Epoch 26: Train MSE is 0.975554 | Dev MSE is 1.026599
Epoch 27: Train MSE is 0.975519 | Dev MSE is 1.026612
Epoch 28: Train MSE is 0.975560 | Dev MSE is 1.026589
Epoch 29: Train MSE is 0.975549 | Dev MSE is 1.026605
Epoch 30: Train MSE is 0.975495 | Dev MSE is 1.026577
Epoch 31: Train MSE is 0.975519 | Dev MSE is 1.026606
Epoch 32: Train MSE is 0.975533 | Dev MSE is 1.026588
Epoch 33: Train MSE is 0.975599 | Dev MSE is 1.026600
Epoch 34: Train MSE is 0.975566 | Dev MSE is 1.026619
Epoch 35: Train MSE is 0.975519 | Dev MSE is 1.026588
Epoch 36: Train MSE is 0.975556 | Dev MSE is 1.026606
Epoch 37: Train MSE is 0.975558 | Dev MSE is 1.026579
Epoch 38: Train MSE is 0.975526 | Dev MSE is 1.026596
Epoch 39: Train MSE is 0.975554 | Dev MSE is 1.026587
Epoch 40: Train MSE is 0.975580 | Dev MSE is 1.026602
Epoch 41: Train MSE is 0.975550 | Dev MSE is 1.026601
Epoch 42: Train MSE is 0.975542 | Dev MSE is 1.026585
Epoch 43: Train MSE is 0.975566 | Dev MSE is 1.026585
Epoch 44: Train MSE is 0.975519 | Dev MSE is 1.026591
Epoch 45: Train MSE is 0.975559 | Dev MSE is 1.026599
Epoch 46: Train MSE is 0.975538 | Dev MSE is 1.026604
Epoch 47: Train MSE is 0.975529 | Dev MSE is 1.026577
Epoch 48: Train MSE is 0.975561 | Dev MSE is 1.026600
Epoch 49: Train MSE is 0.975578 | Dev MSE is 1.026610
Epoch 50: Train MSE is 0.975558 | Dev MSE is 1.026611
Epoch 51: Train MSE is 0.975558 | Dev MSE is 1.026606
Epoch 52: Train MSE is 0.975562 | Dev MSE is 1.026590
Epoch 53: Train MSE is 0.975509 | Dev MSE is 1.026591
Epoch 54: Train MSE is 0.975549 | Dev MSE is 1.026610
Epoch 55: Train MSE is 0.975520 | Dev MSE is 1.026588
Epoch 56: Train MSE is 0.975571 | Dev MSE is 1.026602
Epoch 57: Train MSE is 0.975536 | Dev MSE is 1.026584
Epoch 58: Train MSE is 0.975551 | Dev MSE is 1.026604
Epoch 59: Train MSE is 0.975542 | Dev MSE is 1.026597
Epoch 60: Train MSE is 0.975579 | Dev MSE is 1.026609
Epoch 61: Train MSE is 0.975576 | Dev MSE is 1.026602
Epoch 62: Train MSE is 0.975524 | Dev MSE is 1.026598
Epoch 63: Train MSE is 0.975524 | Dev MSE is 1.026606
Epoch 64: Train MSE is 0.975535 | Dev MSE is 1.026592
Epoch 65: Train MSE is 0.975554 | Dev MSE is 1.026605
Epoch 66: Train MSE is 0.975538 | Dev MSE is 1.026594
Epoch 67: Train MSE is 0.975524 | Dev MSE is 1.026577
Epoch 68: Train MSE is 0.975528 | Dev MSE is 1.026580
Epoch 69: Train MSE is 0.975523 | Dev MSE is 1.026597
Epoch 70: Train MSE is 0.975539 | Dev MSE is 1.026585
Epoch 71: Train MSE is 0.975556 | Dev MSE is 1.026599
Epoch 72: Train MSE is 0.975515 | Dev MSE is 1.026579
Epoch 73: Train MSE is 0.975497 | Dev MSE is 1.026593
Epoch 74: Train MSE is 0.975489 | Dev MSE is 1.026578
Epoch 75: Train MSE is 0.975555 | Dev MSE is 1.026598
Epoch 76: Train MSE is 0.975504 | Dev MSE is 1.026600
Epoch 77: Train MSE is 0.975549 | Dev MSE is 1.026586
Epoch 78: Train MSE is 0.975467 | Dev MSE is 1.026593
Epoch 79: Train MSE is 0.975581 | Dev MSE is 1.026599
Epoch 80: Train MSE is 0.975519 | Dev MSE is 1.026582
Epoch 81: Train MSE is 0.975513 | Dev MSE is 1.026590
Epoch 82: Train MSE is 0.975520 | Dev MSE is 1.026594
Epoch 83: Train MSE is 0.975528 | Dev MSE is 1.026605
Epoch 84: Train MSE is 0.975571 | Dev MSE is 1.026604
Epoch 85: Train MSE is 0.975596 | Dev MSE is 1.026605
Epoch 86: Train MSE is 0.975549 | Dev MSE is 1.026603
Epoch 87: Train MSE is 0.975548 | Dev MSE is 1.026590
Epoch 88: Train MSE is 0.975571 | Dev MSE is 1.026603
Epoch 89: Train MSE is 0.975573 | Dev MSE is 1.026608
Epoch 90: Train MSE is 0.975520 | Dev MSE is 1.026607
Epoch 91: Train MSE is 0.975528 | Dev MSE is 1.026601
Epoch 92: Train MSE is 0.975596 | Dev MSE is 1.026583
Epoch 93: Train MSE is 0.975526 | Dev MSE is 1.026599
Epoch 94: Train MSE is 0.975550 | Dev MSE is 1.026603
Epoch 95: Train MSE is 0.975560 | Dev MSE is 1.026609
Epoch 96: Train MSE is 0.975547 | Dev MSE is 1.026596
Epoch 97: Train MSE is 0.975548 | Dev MSE is 1.026612
Epoch 98: Train MSE is 0.975570 | Dev MSE is 1.026600
Epoch 99: Train MSE is 0.975527 | Dev MSE is 1.026588
Epoch 100: Train MSE is 0.975560 | Dev MSE is 1.026597
Epoch 101: Train MSE is 0.975566 | Dev MSE is 1.026574
Epoch 102: Train MSE is 0.975581 | Dev MSE is 1.026602
Epoch 103: Train MSE is 0.975575 | Dev MSE is 1.026598
Epoch 104: Train MSE is 0.975548 | Dev MSE is 1.026607
Epoch 105: Train MSE is 0.975623 | Dev MSE is 1.026601
Epoch 106: Train MSE is 0.975509 | Dev MSE is 1.026589
Epoch 107: Train MSE is 0.975591 | Dev MSE is 1.026607
Epoch 108: Train MSE is 0.975554 | Dev MSE is 1.026592
Epoch 109: Train MSE is 0.975531 | Dev MSE is 1.026587
Epoch 110: Train MSE is 0.975548 | Dev MSE is 1.026592
Epoch 111: Train MSE is 0.975583 | Dev MSE is 1.026606
