opening L1_reg_Training_out_with_lambda:10.000000.txt
starting
Loading model
Epoch 2: Train MSE is 0.996808 | Dev MSE is 1.030601
Epoch 3: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 4: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 5: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 6: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 7: Train MSE is 0.996705 | Dev MSE is 1.030603
Epoch 8: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 9: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 10: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 11: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 12: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 13: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 14: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 15: Train MSE is 0.996705 | Dev MSE is 1.030601
Epoch 16: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 17: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 18: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 19: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 20: Train MSE is 0.996706 | Dev MSE is 1.030603
Epoch 21: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 22: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 23: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 24: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 25: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 26: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 27: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 28: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 29: Train MSE is 0.996705 | Dev MSE is 1.030601
Epoch 30: Train MSE is 0.996705 | Dev MSE is 1.030601
Epoch 31: Train MSE is 0.996706 | Dev MSE is 1.030600
Epoch 32: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 33: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 34: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 35: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 36: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 37: Train MSE is 0.996705 | Dev MSE is 1.030600
Epoch 38: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 39: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 40: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 41: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 42: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 43: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 44: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 45: Train MSE is 0.996705 | Dev MSE is 1.030601
Epoch 46: Train MSE is 0.996706 | Dev MSE is 1.030603
Epoch 47: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 48: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 49: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 50: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 51: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 52: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 53: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 54: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 55: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 56: Train MSE is 0.996706 | Dev MSE is 1.030603
Epoch 57: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 58: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 59: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 60: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 61: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 62: Train MSE is 0.996705 | Dev MSE is 1.030600
Epoch 63: Train MSE is 0.996705 | Dev MSE is 1.030601
Epoch 64: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 65: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 66: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 67: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 68: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 69: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 70: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 71: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 72: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 73: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 74: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 75: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 76: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 77: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 78: Train MSE is 0.996706 | Dev MSE is 1.030601
